,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pre-Ratings Calculations,,,,,,,Ratings - Price,,,,,,,,,Ratings - Market,,,,,Ratings - Team,,,,,,,,,,,,,,,,Ratings - Business Model,,,,,,,,,Ratings - Performance,,,,,,,,Ratings - Diffrentiation ,,,,,,,,,Overall Ratings (Avg),,,Overall Ratings (Scaled Sum)
Iliass,1792508,Linen App,12/5/2019 8:56 AM,Republic,https://republic.co/linen,https://www.sec.gov/Archives/edgar/data/1792508/000179250819000001/xslC_X01/primary_doc.xml,11/20/2019,"Linen Mobile, Inc.",Linen App,Banking,FinTech,Early,Seed,RegCF,,SAFE,,,,"$19,800,000",0%,Recurring,B2B/B2C,High Growth,Yes,Low,Low,No,"$43,800,000,000",$25B-$50B,"$43,800,000,000",$25B-$50B,1.0%,0%-10%,100,Low,Low,Similar to others,High,High,No,No,Yes,No,$0,"$26,484",$0,100.00%,Pre-Revenue,,No,0,2,Yes,No,No,No,2,3,1,4,,3,0,0,25,No,,2,1,0,36,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.50,1.00,0.00,30.50,20 - 34,100.00%,,4.3,1.0,,,2.7,SAFE,36.5%,Early,,3.6,1.4,2.5,No,,1.2,1.4,1.0,1.2,20 - 34,22%,2,41%,3,10%,Yes,27%,No,No,No,,Recurring,37%,B2B/B2C,35%,Low,44%,Low,32%,,3.0,1.0,1.0,1.0,1.5,Pre-Revenue,22%,,1.0,No,76%,High,46%,High,83%,,,1.8,,8.9,1.7
Iliass,1730486,Thematic,12/06/2019 9:22 AM,Microventures,https://app.microventures.com/crowdfunding/thematic,https://www.sec.gov/Archives/edgar/data/1730486/000173048619000001/xslC_X01/primary_doc.xml,12/05/2019,"Thematic, Inc.",Thematic,Internet,MarketplaceTech,Growth,Seed,RegCF,,Convertible Note,,,,"$8,000,000",0%,Recurring,B2B,High Growth,Yes,High,Low,Yes,"$24,547,000,000",$10B-$25B,"$24,547,000,000",$10B-$25B,9.5%,0%-10%,100,Low,Low,Similar to others,Low,High,No,No,Yes,Yes,"$10,481","$113,842","$1,320,000",8.62%,Pre-Profit,,,0,2,Yes,Yes,No,No,3,6,0,2,,11,1,0,39,No,,14,0,0,39,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.50,1.00,0.00,39.00,35 - 54,8.62%,,4.7,1.0,,,2.9,Convertible Note,12.7%,Growth,,3.3,1.4,2.4,No,,2.2,1.4,1.0,1.5,35 - 54,67%,2,41%,6,8%,Yes,27%,Yes,No,No,,Recurring,37%,B2B,22%,High,56%,Low,32%,,5.0,1.0,4.7,1.2,3.0,Pre-Profit,49%,,1.0,No,76%,Low,54%,High,83%,,,2.1,,10.7,2.4
Iliass,1730486,RehabPath,12/06/2019 9:27 AM,Republic,https://republic.co/rehabpath,https://www.sec.gov/Archives/edgar/data/1791847/000179184719000001/xslC_X01/primary_doc.xml,12/05/2019,RehabPath Inc.,RehabPath,Mental Health Care,MarketplaceTech,Growth,Series A,RegCF,,SAFE,,,,"$5,000,000",20%,Recurring,B2C,High Growth,Yes,High,Low,No,"$1,800,000,000",$1B-$5B,"$1,800,000,000",$1B-$5B,2.9%,0%-10%,20,High,High,Obviously better than others,High,High,Yes,Yes,Yes,Yes,"$214,993","$9,006","$570,000",1.58%,Pre-Profit,,No,0,2,Yes,No,No,No,3,5,0,0,,10,0,0,30,No,,10,0,0,35,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.00,0.00,0.00,32.50,20 - 34,1.58%,,4.8,3.1,,,4.0,SAFE,36.5%,Growth,,2.7,1.4,2.1,Yes,,2.0,1.0,1.0,1.3,20 - 34,22%,2,41%,5,13%,Yes,27%,No,No,No,,Recurring,37%,B2C,40%,High,56%,Low,32%,,5.0,1.0,4.9,1.1,3.0,Pre-Profit,49%,,5.0,Yes,24%,High,46%,High,83%,,,3.1,,15.4,4.2
Iliass,1791739,Grady's Cold Brew,12/6/2019 9:34 AM,StartEngine,https://www.startengine.com/gradyscoldbrew,https://www.sec.gov/Archives/edgar/data/1791739/000166516019001160/xslC_X01/primary_doc.xml,12/5/2019,"Gradys Cold Brew, Inc.",Gradys Cold Brew,Food & Beverages,Non-Tech,Growth,Series B,RegCF,,Equity - Common,,,"$12,800,000",,,Transactional,B2B/B2C,Life Style,No,High,High,No,"$531,630,840",$500M-$1B,"$531,630,840",$500M-$1B,25.1%,20%-30%,100,Low,Low,Similar to others,Low,High,No,No,Yes,Yes,"$3,896,701","$79,802",$0,100.00%,Pre-Profit,,Yes,4,2,No,No,No,No,2,20,0,0,,9,0,0,41,No,,9,0,0,36,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.00,0.00,0.00,38.50,35 - 54,100.00%,,4.6,,,,4.6,Equity - Common,28.6%,Growth,,2.4,2.1,2.3,No,,1.9,1.0,1.0,1.3,35 - 54,67%,2,41%,20,2%,No,73%,No,No,No,,Transactional,63%,B2B/B2C,35%,High,56%,High,68%,,5.0,1.8,1.0,1.0,2.2,Pre-Profit,49%,,1.0,No,76%,Low,54%,High,83%,,,2.3,,11.3,2.6
Iliass,1796036,PhorMed,12/06/2019 9:46 AM,StartEngine,https://www.startengine.com/phormed,https://www.sec.gov/Archives/edgar/data/1796036/000166516019001165/xslC_X01/primary_doc.xml,12-05-2019,Phormed Inc,PhorMed,Biotechnology,BioTech,Early,Pre-Seed,RegCF,,Equity - Common,,,"$39,000,000",,,Transactional,B2B2C,High Growth,No,High,High,No,"$8,000,000,000",$5B-$10B,"$8,000,000,000",$5B-$10B,12.5%,10%-20%,0,High,Low,Obviously better than others,High,Low,Yes,No,No,No,$0,$0,$0,100.00%,Pre-Product,Phase II,No,0,1,Yes,Yes,Yes,No,0,6,4,0,,0,0,0,42,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,42.00,35 - 54,100.00%,,3.7,,,,3.7,Equity - Common,28.6%,Early,,3.0,1.7,2.4,Yes,,1.0,1.0,1.0,1.0,35 - 54,67%,1,48%,6,8%,Yes,27%,Yes,Yes,No,,Transactional,63%,B2B2C,3%,High,56%,High,68%,,1.0,1.0,1.0,1.0,1.0,Pre-Product,24%,,3.0,No,76%,High,46%,Low,17%,,,2.2,,11.1,2.5
Iliass,1661779,StartEngine Crowdfunding,12/06/2019 10:12 AM,TruCrowd,https://us.trucrowd.com/equity/offer-summary/StartEngine2,https://www.sec.gov/Archives/edgar/data/1661779/000110465920032595/xslC_X01/primary_doc.xml,03/12/2020,"STARTENGINE CROWDFUNDING, INC.",StartEngine,Fund-Raising,FinTech,Early,Seed,RegCF,,Equity - Common,,,"$120,000,000",,,Transactional,B2B/B2C,High Growth,Yes,Low,Low,No,"$13,725,120,000",$10B-$25B,"$13,725,120,000",$10B-$25B,16.0%,10%-20%,25,Low,Low,Similar to others,High,High,No,No,Yes,Yes,"$4,682,528","$383,375","$5,000,000",7.67%,Pre-Profit,,No,0,3,Yes,No,No,Yes,3,29,0,0,,9,1,1,55,Yes,,6,3,2,54,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.50,4.00,3.00,54.50,55+,7.67%,,1.0,,,,1.0,Equity - Common,28.6%,Early,,3.3,1.7,2.5,No,,1.7,2.8,4.0,2.8,55+,11%,3,6%,29,2%,Yes,27%,No,No,Yes,,Transactional,63%,B2B/B2C,35%,Low,44%,Low,32%,,5.0,2.0,4.7,1.9,3.4,Pre-Profit,49%,,1.0,No,76%,High,46%,High,83%,,,2.1,,10.7,2.4
Iliass,1629933,Dented Brick Distillery,12/6/2019 10:22 AM,WeFunder,https://wefunder.com/dented.brick.distillery,https://www.sec.gov/Archives/edgar/data/1629933/000167025419000557/xslC_X01/primary_doc.xml,10/02/2019,Salt Lake City Distillery LLC,Dented Brick Distillery,Food & Beverages,Non-Tech,Growth,Series A,RegCF,,SAFE,,,,"$7,000,000",30%,Transactional,B2B/B2C,High Growth,No,Low,High,No,"$19,412,603,885",$10B-$25B,"$7,765,041,554",$5B-$10B,33.4%,30%-40%,2000,Low,Low,Similar to others,Low,High,No,No,Yes,Yes,"$396,749","$63,587","$4,601,100",1.38%,Pre-Profit,,No,0,2,No,No,No,No,3,8,0,0,,3,0,0,62,Yes,,8,1,0,53,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.50,1.00,0.00,57.50,55+,1.38%,,4.8,4.2,,,4.5,SAFE,36.5%,Growth,,3.0,2.5,2.8,No,,1.5,1.4,1.0,1.3,55+,11%,2,41%,8,3%,No,73%,No,No,No,,Transactional,63%,B2B/B2C,35%,Low,44%,High,68%,,5.0,1.1,4.9,1.8,3.2,Pre-Profit,49%,,1.0,No,76%,Low,54%,High,83%,,,2.6,,12.8,3.2
Iliass,1709539,Shark Wheel,12/06/2019 10:27 AM,WeFunder,https://wefunder.com/sharkwheel,https://www.sec.gov/Archives/edgar/data/1709539/000167025420000070/xslC_X01/primary_doc.xml,12/05/2019,"Shark Wheel, Inc.","Shark Wheel, Inc.",Consumer Goods,Non-Tech,Early,Seed,RegCF,,Equity - Common,,,"$30,000,000",,,Recurring,B2B/B2C,High Growth,No,High,High,No,"$2,500,000,000",$1B-$5B,"$2,500,000,000",$1B-$5B,3.1%,0%-10%,100,High,Low,Obviously better than others,High,High,No,Yes,Yes,Yes,"$950,796","$63,328","$2,788,940",2.27%,Pre-Profit,,Yes,3,2,No,No,No,Yes,1,4,0,1,,17,4,0,48,No,,8,0,0,40,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.50,4.00,0.00,44.00,35 - 54,2.27%,,4.0,,,,4.0,Equity - Common,28.6%,Early,,2.7,1.4,2.1,No,,2.2,2.8,1.0,2.0,35 - 54,67%,2,41%,4,13%,No,73%,No,No,Yes,,Recurring,37%,B2B/B2C,35%,High,56%,High,68%,,5.0,1.2,4.9,1.5,3.2,Pre-Profit,49%,,3.0,Yes,24%,High,46%,High,83%,,,2.8,,14.2,3.7
Iliass,1702371,Hive,12/09/2019 1:20 PM,Republic,https://republic.co/hive,https://www.sec.gov/Archives/edgar/data/1702371/000170237119000002/xslC_X01/primary_doc.xml,12/06/2019,"Hive Companies, Inc.",Hive,Online Media,MediaTech,Growth,Series B,RegCF,,SAFE,,,,"$10,000,000",0%,Recurring,B2B/B2C,High Growth,Yes,High,Low,No,"$46,000,000,000",$25B-$50B,"$1,000,000,000",$1B-$5B,25.0%,20%-30%,10,High,Low,Obviously better than others,Low,High,Yes,No,Yes,Yes,"$2,038,139","$77,550","$1,600,000",4.85%,Profitable,,No,0,1,No,No,No,No,4,13,15,3,,18,4,2,36,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.00,4.00,2.00,36.00,35 - 54,4.85%,,4.7,1.0,,,2.8,SAFE,36.5%,Growth,,2.7,2.1,2.4,Yes,,2.7,2.8,3.0,2.8,35 - 54,67%,1,48%,13,3%,No,73%,No,No,No,,Recurring,37%,B2B/B2C,35%,High,56%,Low,32%,,5.0,1.4,4.8,1.3,3.1,Profitable,5%,,3.0,No,76%,Low,54%,High,83%,,,2.8,,14.2,3.7
Iliass,1792907,Back To Space,12/9/2019 1:36 PM,WeFunder,https://wefunder.com/back.to.space,https://www.sec.gov/Archives/edgar/data/1792907/000167025419000675/xslC_X01/primary_doc.xml,11/21/2019,"Back To Space, LLC",Back To Space,Media Production,MediaTech,Early,Seed,RegCF,,Equity - Preferred,,,"$5,670,000",,,Recurring,B2C,Life Style,Yes,Low,High,No,"$34,777,400,000",$25B-$50B,"$2,000,000,000",$1B-$5B,3.6%,0%-10%,100,Low,Low,Similar to others,High,High,Yes,No,Yes,No,"$118,457","$55,965","$1,234,000",4.54%,Pre-Product,,Yes,4,2,No,yes,No,No,5,3,5,1,,2,0,0,28,Yes,,2,5,4,62,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,5.00,4.00,45.00,35 - 54,4.54%,,4.8,,,,4.8,Equity - Preferred,7.9%,Early,,2.7,1.4,2.1,Yes,,1.2,3.2,5.0,3.1,35 - 54,67%,2,41%,3,10%,No,73%,yes,No,No,,Recurring,37%,B2C,40%,Low,44%,High,68%,,3.0,1.0,4.8,1.2,2.5,Pre-Product,24%,,1.0,No,76%,High,46%,High,83%,,,2.7,,13.5,3.4
Iliass,1722969,Atlis Motor Vehicles,12/10/2019 10:27 AM,StartEngine,https://www.startengine.com/atlis-motor-vehicles-3,https://www.sec.gov/Archives/edgar/data/1722969/000166516019001173/xslC_X01/primary_doc.xml,12/10/2019,Atlis Motor Vehicle Inc.,Atlis Motor Vehicle Inc.,Automotive,CleanTech,Early,Seed,RegCF,,Equity - Common,,,"$89,800,000",,,Recurring,B2B/B2C,High Growth,No,High,High,No,"$536,600,000,000",$500B-$1T,"$22,000,000,000",$10B-$25B,4.0%,0%-10%,6,High,Low,Obviously better than others,High,Low,Yes,Yes,Yes,No,$0,"$49,646","$1,140,000",4.35%,Pre-Product,,No,0,2,No,No,No,No,3,14,0,0,,1,0,0,32,Yes,,13,0,0,36,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.00,0.00,0.00,34.00,20 - 34,4.35%,,2.0,,,,2.0,Equity - Common,28.6%,Early,,3.3,1.4,2.4,Yes,,1.7,1.0,1.0,1.2,20 - 34,22%,2,41%,14,3%,No,73%,No,No,No,,Recurring,37%,B2B/B2C,35%,High,56%,High,68%,,3.0,1.0,4.8,1.2,2.5,Pre-Product,24%,,3.0,Yes,24%,High,46%,Low,17%,,,2.2,,11.1,2.5
Iliass,1788204,Crafthouse Cocktails,12/10/2019 10:40 AM,WeFunder,https://wefunder.com/crafthouse.cocktails,https://www.sec.gov/Archives/edgar/data/1788204/000167025419000640/xslC_X01/primary_doc.xml,11/05/2019,"Stanton South, LLC","Stanton South, LLC",Food & Beverages,Non-Tech,Early,Series A,RegCF,,Convertible Note,,,,"$8,300,000",20%,Transactional,B2B/B2C,Life Style,No,Low,High,No,"$1,587,868,000,000",> $1T,"$62,000,000",$50M-$100M,40.7%,40%-50%,25,Low,Low,Similar to others,High,High,No,No,Yes,Yes,"$622,601","$65,512","$800,000",8.19%,Pre-Profit,,Yes,3,2,Yes,No,No,No,2,2,0,0,,15,1,0,48,No,,16,1,0,38,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.50,2.00,0.00,43.00,35 - 54,8.19%,,4.7,3.1,,,3.9,Convertible Note,12.7%,Early,,1.6,2.8,2.2,No,,2.5,1.9,1.0,1.8,35 - 54,67%,2,41%,2,14%,Yes,27%,No,No,No,,Transactional,63%,B2B/B2C,35%,Low,44%,High,68%,,5.0,1.1,4.7,1.1,3.0,Pre-Profit,49%,,1.0,No,76%,High,46%,High,83%,,,2.4,,11.9,2.8
Iliass,1790674,Delee,12/11/2019 10:39 AM,Republic,https://republic.co/delee,https://www.sec.gov/Archives/edgar/data/1790674/000179067419000002/xslC_X01/primary_doc.xml,12/09/2019,Delee Corp,Delee,Biotechnology,BioTech,Early,Seed,RegCF,,SAFE,,,,"$10,000,000",0%,Transactional,B2B,Life Style,No,High,High,Yes,"$19,000,000,000",$10B-$25B,"$19,000,000,000",$10B-$25B,17.1%,10%-20%,2,Low,Low,Obviously better than others,High,Low,Yes,Yes,Yes,No,$0,"$14,068","$1,300,000",1.08%,Pre-Revenue,,No,0,3,Yes,Yes,Yes,No,5,15,0,0,,3,1,0,26,No,,7,0,0,30,No,,30,0,0,30,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.33,1.00,0.00,28.67,20 - 34,1.08%,,4.7,1.0,,,2.8,SAFE,36.5%,Early,,3.3,1.7,2.5,Yes,,2.3,1.4,1.0,1.6,20 - 34,22%,3,6%,15,2%,Yes,27%,Yes,Yes,No,,Transactional,63%,B2B,22%,High,56%,High,68%,,3.0,1.0,5.0,1.2,2.5,Pre-Revenue,22%,,1.0,Yes,24%,High,46%,Low,17%,,,2.1,,10.5,2.3
Iliass,1751794,Billion Vegans,12/11/2019 11:10 AM,WeFunder,https://wefunder.com/billionvegans,https://www.sec.gov/Archives/edgar/data/1751794/000167025419000606/xslC_X01/primary_doc.xml,10/14/2019,Billion Vegans Inc.,Billion Vegans,Food & Beverages,RetailTech,Early,Seed,RegCF,,SAFE,,,,"$6,500,000",20%,Transactional,B2C,High Growth,Yes,High,Low,No,"$17,338,555,000",$10B-$25B,"$17,338,555,000",$10B-$25B,10.5%,10%-20%,9,Low,Low,Similar to others,High,High,Yes,No,Yes,Yes,"$56,277","$12,898","$491,578",2.62%,Pre-Profit,,No,0,1,No,No,No,No,0,9,0,0,,3,8,2,42,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,8.00,2.00,42.00,35 - 54,2.62%,,4.8,3.1,,,3.9,SAFE,36.5%,Early,,3.3,1.7,2.5,Yes,,1.3,4.6,3.0,2.9,35 - 54,67%,1,48%,9,6%,No,73%,No,No,No,,Transactional,63%,B2C,40%,High,56%,Low,32%,,5.0,1.0,4.9,1.1,3.0,Pre-Profit,49%,,1.0,No,76%,High,46%,High,83%,,,2.7,,13.4,3.4
Iliass,1617797,Story2,12/12/2019 10:38 AM,Republic,https://republic.co/story2,https://www.sec.gov/Archives/edgar/data/1617797/000146581819000035/xslC_X01/primary_doc.xml,12/10/2019,"Story to College, LLC",Story2,Higher Education,EdTech,Growth,Series A,RegCF,,SAFE,,,,"$10,000,000",10%,Recurring,B2B2C,High Growth,Yes,High,Low,No,"$626,000,000,000",$500B-$1T,"$279,000,000,000",$250B-$500B,12.0%,10%-20%,100,High,Low,Obviously better than others,Low,High,Yes,Yes,Yes,Yes,"$418,213","$70,224","$2,000,000",3.51%,Pre-Profit,,Yes,6,1,No,Yes,No,No,6,11,2,0,,7,1,1,61,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.00,1.00,1.00,61.00,55+,3.51%,,4.7,2.1,,,3.4,SAFE,36.5%,Growth,,4.4,1.7,3.1,Yes,,1.7,1.4,2.0,1.7,55+,11%,1,48%,11,3%,No,73%,Yes,No,No,,Recurring,37%,B2B2C,3%,High,56%,Low,32%,,5.0,1.1,4.9,1.4,3.1,Pre-Profit,49%,,3.0,Yes,24%,Low,54%,High,83%,,,2.8,,14.2,3.7
Iliass,1701666,Akibah Health,12/12/2019 10:42 AM,StartEngine,https://www.startengine.com/akibah-health,https://www.sec.gov/Archives/edgar/data/1701666/000166516019001181/xslC_X01/primary_doc.xml,12/11/2019,Akibah Health Corporation,Akibah Health,"Health, Welness & Fitness",HealthTech,Early,Seed,RegCF,,Equity - Common,,,"$5,960,000",,,Recurring,B2C,High Growth,No,High,High,Yes,"$8,911,821,504",$5B-$10B,"$8,788,451,772",$5B-$10B,4.2%,0%-10%,100,High,Low,Obviously better than others,High,High,Yes,Yes,Yes,No,$0,"$4,567","$500,000",0.91%,Pre-Revenue,,Yes,3,1,No,No,Yes,No,2,5,1,1,,0,0,0,42,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,42.00,35 - 54,0.91%,,4.8,,,,4.8,Equity - Common,28.6%,Early,,3.0,1.4,2.2,Yes,,1.0,1.0,1.0,1.0,35 - 54,67%,1,48%,5,13%,No,73%,No,Yes,No,,Recurring,37%,B2C,40%,High,56%,High,68%,,3.0,1.0,5.0,1.1,2.5,Pre-Revenue,22%,,3.0,Yes,24%,High,46%,High,83%,,,2.7,,13.5,3.4
Iliass,1789108,Robovet,12/12/2019 10:55 AM,WeFunder,https://wefunder.com/robovet,https://www.sec.gov/Archives/edgar/data/1789108/000167025419000694/xslC_X01/primary_doc.xml,11/26/2019,Robovet Corporation,Robovet,Veterinary,MedTech,Early,Seed,RegCF,,SAFE,,,,"$3,000,000",25%,Transactional,B2B,Life Style,No,High,High,No,"$47,000,000,000",$25B-$50B,"$2,292,654,240",$1B-$5B,6.8%,0%-10%,5,Low,High,Similar to others,High,Low,No,Yes,Yes,No,$0,"$2,021","$10,020",20.17%,Pre-Product,,Yes,2,1,No,No,No,No,2,4,1,1,,12,0,0,50,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.00,0.00,0.00,50.00,35 - 54,20.17%,,4.9,3.6,,,4.3,SAFE,36.5%,Early,,2.7,1.4,2.1,No,,2.1,1.0,1.0,1.4,35 - 54,67%,1,48%,4,13%,No,73%,No,No,No,,Transactional,63%,B2B,22%,High,56%,High,68%,,3.0,1.0,4.2,1.0,2.3,Pre-Product,24%,,3.0,Yes,24%,High,46%,Low,17%,,,2.6,,13.0,3.2
Iliass,1780122,Genobank.io,12/16/2019 10:52 AM,Republic,https://republic.co/genobank-io,https://www.sec.gov/Archives/edgar/data/1780122/000178012219000003/xslC_X01/primary_doc.xml,12/13/2019,Genobank.io Inc,Genobank.io,Biotechnology,BioTech,Early,Seed,RegCF,,SAFE,,,,"$10,000,000",15%,Transactional,B2B/B2C,High Growth,No,High,High,No,"$10,520,447,637",$10B-$25B,"$10,520,447,637",$10B-$25B,19.0%,10%-20%,35,High,Low,Obviously better than others,High,High,No,Yes,No,No,$0,$0,"$215,000",0.00%,Pre-Revenue,,Yes,2,2,Yes,No,Yes,No,5,2,0,1,,3,1,0,41,Yes,,4,1,0,34,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.50,2.00,0.00,37.50,35 - 54,0.00%,,4.7,2.6,,,3.6,SAFE,36.5%,Early,,3.3,1.7,2.5,No,,1.3,1.9,1.0,1.4,35 - 54,67%,2,41%,2,14%,Yes,27%,No,Yes,No,,Transactional,63%,B2B/B2C,35%,High,56%,High,68%,,1.0,1.0,5.0,1.0,2.0,Pre-Revenue,22%,,3.0,Yes,24%,High,46%,High,83%,,,2.5,,12.5,3.1
Iliass,1799231,Hempazon,2/24/2020 10:24 AM,Fundanna,https://fundanna.com/equity/offer-summary/Hempazon,https://www.sec.gov/Archives/edgar/data/1799231/000179923120000001/xslC_X01/primary_doc.xml,01/23/2020,"HAZN, Inc",Hempazon,Cannabis and CBD,RetailTech,Early,Seed,RegCF,,Equity - Common,,,"$3,062,500",,,Transactional,B2B/B2C,High Growth,Yes,Low,High,No,"$21,756,500,000",$10B-$25B,"$21,756,500,000",$10B-$25B,70.7%,70%-80%,100,Low,Low,Similar to others,Low,High,No,No,No,No,$0,$0,$0,100.00%,Pre-Product,,No,0,1,No,No,No,No,0,1,1,0,,4,0,0,49,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.00,0.00,0.00,49.00,35 - 54,100.00%,,4.9,,,,4.9,Equity - Common,28.6%,Early,,3.3,3.9,3.6,No,,1.4,1.0,1.0,1.1,35 - 54,67%,1,48%,1,8%,No,73%,No,No,No,,Transactional,63%,B2B/B2C,35%,Low,44%,High,68%,,1.0,1.0,1.0,1.0,1.0,Pre-Product,24%,,1.0,No,76%,Low,54%,High,83%,,,2.3,,11.6,2.7
Iliass,1779318,Fleeting,2/24/2020 10:28 AM,Republic,https://republic.co/fleeting,https://www.sec.gov/Archives/edgar/data/1779318/000177931820000002/xslC_X01/primary_doc.xml,2/21/2020,"Fleeting,Inc.",Fleeting,Transportation/Trucking/Railroad,MarketplaceTech,Early,Seed,RegCF,,SAFE,,,,"$10,000,000",20%,Transactional,B2B/B2C,High Growth,Yes,Low,Low,No,"$853,609,882,367",$500B-$1T,"$265,000,000,000",$250B-$500B,3.5%,0%-10%,50,High,Low,Obviously better than others,High,High,No,No,Yes,Yes,"$41,866","$4,175",$0,100.00%,Pre-Profit,,No,0,4,Yes,No,Yes,No,7,5,0,4,,16,2,0,36,No,,2,1,0,47,No,,2,2,0,34,No,,4,0,0,40,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.00,5.00,0.00,39.25,35 - 54,100.00%,,4.7,3.1,,,3.9,SAFE,36.5%,Early,,4.4,1.4,2.9,No,,1.6,3.2,1.0,1.9,35 - 54,67%,4,5%,5,13%,Yes,27%,No,Yes,No,,Transactional,63%,B2B/B2C,35%,Low,44%,Low,32%,,5.0,1.0,1.0,1.0,2.0,Pre-Profit,49%,,3.0,No,76%,High,46%,High,83%,,,2.7,,13.7,3.5
Iliass,1702255,LaneAxis,02/24/2020 11:16 AM,StartEngine,https://www.startengine.com/laneaxis-inc,https://www.sec.gov/Archives/edgar/data/1702255/000166516020000149/xslC_X01/primary_doc.xml,02/20/2020,"LaneAxis, Inc.",LaneAxis,Transportation/Trucking/Railroad,MarketplaceTech,Early,Series A,RegCF,,Equity - Common,,,"$7,970,000",,,Transactional,B2B,High Growth,Yes,Low,Low,No,"$853,609,882,367",$500B-$1T,"$93,848,952,414",$50B-$100B,16.2%,10%-20%,100,High,High,Obviously better than others,High,High,No,Yes,Yes,No,$0,"$52,226",$0,100.00%,Pre-Revenue,,Yes,4,1,No,No,No,No,1,10,4,0,,5,0,0,53,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.00,0.00,0.00,53.00,35 - 54,100.00%,,4.7,,,,4.7,Equity - Common,28.6%,Early,,3.9,1.7,2.8,No,,1.5,1.0,1.0,1.2,35 - 54,67%,1,48%,10,3%,No,73%,No,No,No,,Transactional,63%,B2B,22%,Low,44%,Low,32%,,3.0,1.0,1.0,1.0,1.5,Pre-Revenue,22%,,5.0,Yes,24%,High,46%,High,83%,,,3.0,,15.2,4.1
Iliass,1800204,SunState Laboratories,02/24/2020 11:24 AM,WeFunder,https://wefunder.com/sunstate.laboratories,https://www.sec.gov/Archives/edgar/data/1800204/000167025420000055/xslC_X01/primary_doc.xml,1/22/2020,"SunState Laboratories, Inc.",SunState Laboratories,Consumer Goods,CleanTech,Early,Seed,RegCF,,Equity - Preferred,,,"$5,000,000",,,Transactional,B2B/B2C,Life Style,No,Low,Low,No,"$31,200,000,000",$25B-$50B,"$31,200,000,000",$25B-$50B,4.0%,0%-10%,100,High,Low,Obviously better than others,Low,High,Yes,No,Yes,Yes,"$10,623","$3,380",$0,100.00%,Pre-Profit,,No,0,1,No,No,No,No,2,3,1,0,,9,0,0,55,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.00,0.00,0.00,55.00,55+,100.00%,,4.8,,,,4.8,Equity - Preferred,7.9%,Early,,3.6,1.4,2.5,Yes,,1.9,1.0,1.0,1.3,55+,11%,1,48%,3,10%,No,73%,No,No,No,,Transactional,63%,B2B/B2C,35%,Low,44%,Low,32%,,5.0,1.0,1.0,1.0,2.0,Pre-Profit,49%,,3.0,No,76%,Low,54%,High,83%,,,2.7,,13.6,3.5
