writer,cik,company,date_created,platform,platform_url,sec_filing_url,sec_filing_date,legal_name,dba,industry,tech_sector,stage,series,crowdfunding_type_1,crowdfunding_type_2,security_type,rev_share_return_multiple,debt_interest_rate,pre_money_valuation,valuation_cap,discount_rate,valuation_cap_after_discount,valuations_combined,valuations_brackets,revenue_model,distrubution_model,business_type,has_scalable_business_model,margin_level,capital_intensity_level,accelerator_program,market_size_total,market_size_total_buckets,market_size_addressable,market_size_addressable_buckets,market_growth_rate,market_growth_rate_buckets,direct_competitors,differentiation_level_quality,differentiation_level_price,how_is_it_10x_better,barriers_to_entry,threat_of_substitute_products,has_social_impact,has_patents,has_users,has_paying_customers,total_revenue,total_revenue_brackets,monthly_burn,prior_rounds_total_amount_raised,prior_rounds_total_amount_raised_buckets,monthly_burn_rate,monthly_burn_rate_of_capital_buckets,development_phase,bio_development_phase,has_partnerships,relevant_partners,founders,has_shared_experience,has_female_founders,has_minority_founders,has_famous_founders,unique_universities,employees,relevent_advisors,notable_investors,spacer founder 1,founder_1_relevant_industry_experience,founder_1_previous_startups,founder_1_exits,founder_1_age,founder_1_graduated_from_top_100,spacer founder 2,founder_2_relevant_industry_experience,founder_2_previous_startups,founder_2_exits,founder_2_age,founder_2_graduated_from_top_100,spacer founder 3,founder_3_relevant_industry_experience,founder_3_previous_startups,founder_3_exits,founder_3_age,founder_3_graduated_from_top_100,spacer founder 4,founder_4_relevant_industry_experience,founder_4_previous_startups,founder_4_exits,founder_4_age,founder_4_graduated_from_top_100,spacer founder 5,founder_5_relevant_industry_experience,founder_5_previous_startups,founder_5_exits,founder_5_age,founder_5_graduated_from_top_100,spacer founder 6,founder_6_relevant_industry_experience,founder_6_previous_startups,founder_6_exits,founder_6_age,founder_6_graduated_from_top_100,spacer founder 7,founder_7_relevant_industry_experience,founder_7_previous_startups,founder_7_exits,founder_7_age,founder_7_graduated_from_top_100,spacer founder 8,founder_8_relevant_industry_experience,founder_8_previous_startups,founder_8_exits,founder_8_age,founder_8_graduated_from_top_100,spacer founder 9,founder_9_relevant_industry_experience,founder_9_previous_startups,founder_9_exits,founder_9_age,founder_9_graduated_from_top_100,,,,
Iliass,1789108,Robovet,12/12/2019 10:55,WeFunder,https://wefunder.com/robovet,https://www.sec.gov/Archives/edgar/data/1789108/000167025419000694/xslC_X01/primary_doc.xml,11/26/2019,Robovet Corporation,Robovet,Veterinary,MedTech,Early,Seed,RegCF,,SAFE,,,,"$3,000,000 ",25%,"$2,250,000 ",2250000,#NAME?,Transactional,B2B,Life Style,No,High,High,No,"$47,000,000,000 ",#NAME?,"$2,292,654,240 ",#NAME?,6.80%,#NAME?,5,Low,High,Similar to others,High,Low,No,Yes,Yes,No,0,#NAME?,2021,"$10,020 ",#NAME?,20.17%,#NAME?,Pre-Product,,Yes,2,1,No,No,No,No,2,4,1,1,,12,0,0,50,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iliass,1780122,Genobank.io,12/16/2019 10:52,Republic,https://republic.co/genobank-io,https://www.sec.gov/Archives/edgar/data/1780122/000178012219000003/xslC_X01/primary_doc.xml,12/13/2019,Genobank.io Inc,Genobank.io,Biotechnology,BioTech,Early,Seed,RegCF,,SAFE,,,,"$10,000,000 ",15%,"$8,500,000 ",8500000,#NAME?,Transactional,B2B/B2C,High Growth,No,High,High,No,"$10,520,447,637 ",#NAME?,"$10,520,447,637 ",#NAME?,19.00%,#NAME?,35,High,Low,Obviously better than others,High,High,No,Yes,No,No,0,#NAME?,0,"$215,000 ",#NAME?,100.00%,#NAME?,Pre-Revenue,,Yes,2,2,Yes,No,Yes,No,5,2,0,1,,3,1,0,41,Yes,,4,1,0,34,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iliass,1799231,Hempazon,2/24/2020 10:24,Fundanna,https://fundanna.com/equity/offer-summary/Hempazon,https://www.sec.gov/Archives/edgar/data/1799231/000179923120000001/xslC_X01/primary_doc.xml,1/23/2020,"HAZN, Inc",Hempazon,Cannabis and CBD,RetailTech,Early,Seed,RegCF,,Equity - Common,,,"$3,062,500 ",,,,3062500,#NAME?,Transactional,B2B/B2C,High Growth,Yes,Low,High,No,"$21,756,500,000 ",#NAME?,"$21,756,500,000 ",#NAME?,70.70%,#NAME?,100,Low,Low,Similar to others,Low,High,No,No,No,No,0,#NAME?,0,$0 ,#NAME?,100.00%,#NAME?,Pre-Product,,No,0,1,No,No,No,No,0,1,1,0,,4,0,0,49,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iliass,1779318,Fleeting,2/24/2020 10:28,Republic,https://republic.co/fleeting,https://www.sec.gov/Archives/edgar/data/1779318/000177931820000002/xslC_X01/primary_doc.xml,2/21/2020,"Fleeting,Inc.",Fleeting,Transportation/Trucking/Railroad,MarketplaceTech,Early,Seed,RegCF,,SAFE,,,,"$10,000,000 ",20%,"$8,000,000 ",8000000,#NAME?,Transactional,B2B/B2C,High Growth,Yes,Low,Low,No,"$853,609,882,367 ",#NAME?,"$265,000,000,000 ",#NAME?,3.50%,#NAME?,50,High,Low,Obviously better than others,High,High,No,No,Yes,Yes,41866,#NAME?,4175,$0 ,#NAME?,100.00%,#NAME?,Pre-Profit,,No,0,4,Yes,No,Yes,No,7,5,0,4,,16,2,0,36,No,,2,1,0,47,No,,2,2,0,34,No,,4,0,0,40,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iliass,1702255,LaneAxis,2/24/2020 11:16,StartEngine,https://www.startengine.com/laneaxis-inc,https://www.sec.gov/Archives/edgar/data/1702255/000166516020000149/xslC_X01/primary_doc.xml,2/20/2020,"LaneAxis, Inc.",LaneAxis,Transportation/Trucking/Railroad,MarketplaceTech,Early,Series A,RegCF,,Equity - Common,,,"$7,970,000 ",,,,7970000,#NAME?,Transactional,B2B,High Growth,Yes,Low,Low,No,"$853,609,882,367 ",#NAME?,"$93,848,952,414 ",#NAME?,16.20%,#NAME?,100,High,High,Obviously better than others,High,High,No,Yes,Yes,No,0,#NAME?,52226,$0 ,#NAME?,100.00%,#NAME?,Pre-Revenue,,Yes,4,1,No,No,No,No,1,10,4,0,,5,0,0,53,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iliass,1800204,SunState Laboratories,2/24/2020 11:24,WeFunder,https://wefunder.com/sunstate.laboratories,https://www.sec.gov/Archives/edgar/data/1800204/000167025420000055/xslC_X01/primary_doc.xml,1/22/2020,"SunState Laboratories, Inc.",SunState Laboratories,Consumer Goods,CleanTech,Early,Seed,RegCF,,Equity - Preferred,,,"$5,000,000 ",,,,5000000,#NAME?,Transactional,B2B/B2C,Life Style,No,Low,Low,No,"$31,200,000,000 ",#NAME?,"$31,200,000,000 ",#NAME?,4.00%,#NAME?,100,High,Low,Obviously better than others,Low,High,Yes,No,Yes,Yes,10623,#NAME?,3380,$0 ,#NAME?,100.00%,#NAME?,Pre-Profit,,No,0,1,No,No,No,No,2,3,1,0,,9,0,0,55,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iliass,1792754,ILLUSIO,2/25/2020 10:49,Equifund CFP,https://equifundcfp.com/illusio/,https://www.sec.gov/Archives/edgar/data/1792754/000179275419000003/xslC_X01/primary_doc.xml,12/26/2020,"Illusio, Inc.",Illusio,Medical Device,MedTech,Early,Seed,RegCF,,Equity - Common,,,"$15,000,000 ",,,,15000000,#NAME?,Recurring,B2B,High Growth,Yes,High,High,No,"$2,960,071,400 ",#NAME?,"$2,960,071,400 ",#NAME?,6.70%,#NAME?,3,High,High,Obviously better than others,High,Low,No,Yes,Yes,Yes,3400,#NAME?,50586,"$1,600,000 ",#NAME?,3.16%,#NAME?,Pre-Profit,,Yes,1,1,No,No,No,No,3,3,4,0,,9,0,0,51,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iliass,1801721,Roula,2/25/2020 12:12,Microventures,https://app.microventures.com/crowdfunding/roula,https://www.sec.gov/Archives/edgar/data/1801721/000180172120000001/xslC_X01/primary_doc.xml,2/24/2020,Veltrav LLC,Roula.cc,"Leisure, Travel & Turism",MarketplaceTech,Early,Seed,RegCF,,Convertible Note,,,,"$3,200,000 ",20%,"$2,560,000 ",2560000,#NAME?,Transactional,B2C,Life Style,Yes,High,Low,No,"$3,401,700,000 ",#NAME?,"$34,017,000 ",#NAME?,17.60%,#NAME?,5,Low,Low,Similar to others,Low,Low,No,No,Yes,Yes,131164,#NAME?,1246,$0 ,#NAME?,100.00%,#NAME?,Pre-Profit,,No,0,1,No,No,No,No,1,4,0,0,,2,2,0,51,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iliass,1777476,Mighty Quinn's Barbeque,2/25/2020 12:18,SeedInvest,https://www.seedinvest.com/mightyquinns/series.b,https://www.sec.gov/Archives/edgar/data/1777476/000177747620000001/xslC_X01/primary_doc.xml,2/18/2020,Mighty Quinn's Holdings LLC,Mighty Quinn's Barbecue,Restaurants,Non-Tech,Early,Series B,RegCF,RegD 506(C),Convertible Note,,,,"$40,000,000 ",20%,"$32,000,000 ",32000000,#NAME?,Transactional,B2B/B2C,Life Style,Yes,Low,High,No,"$800,000,000,000 ",#NAME?,"$50,000,000,000 ",#NAME?,9.80%,#NAME?,1000,Low,Low,Similar to others,Low,High,No,No,Yes,Yes,18442226,#NAME?,195878,"$3,000,000 ",#NAME?,6.53%,#NAME?,Pre-Profit,,No,0,3,Yes,No,Yes,No,2,79,0,0,,20,3,1,42,No,,19,0,0,41,No,,8,0,0,43,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iliass,1802465,Sienna Sauce,2/26/2020 10:07,Republic,https://republic.co/sienna-sauce,https://www.sec.gov/Archives/edgar/data/1802465/000180246520000002/xslC_X01/primary_doc.xml,2/25/2020,Tyla-Simone's Wings LLC,Sienna Sauce,Food Production,Non-Tech,Early,Seed,RegCF,,SAFE,,,,"$5,000,000 ",20%,"$4,000,000 ",4000000,#NAME?,Transactional,B2B/B2C,Life Style,No,High,Low,No,"$22,200,000,000 ",#NAME?,"$22,200,000,000 ",#NAME?,1.70%,#NAME?,100,Low,Low,Similar to others,Low,High,No,No,Yes,Yes,191851,#NAME?,2225,"$35,000 ",#NAME?,6.36%,#NAME?,Pre-Profit,,No,0,1,No,Yes,Yes,No,1,2,0,0,,3,0,0,18,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iliass,1795715,Skinz.gg,2/26/2020 10:14,StartEngine,https://www.startengine.com/skinzgg,https://www.sec.gov/Archives/edgar/data/1795715/000166516020000155/xslC_X01/primary_doc.xml,2/24/2020,Skinz Inc,Skinz.gg,Cannabis and CBD,RetailTech,Early,Seed,RegCF,,Equity - Common,,,"$8,000,000 ",,,,8000000,#NAME?,Transactional,B2C,Life Style,Yes,High,Low,No,"$553,700,000 ",#NAME?,"$184,566,667 ",#NAME?,33.50%,#NAME?,100,Low,Low,Similar to others,Low,High,No,No,No,No,0,#NAME?,0,$0 ,#NAME?,100.00%,#NAME?,Pre-Revenue,,Yes,1,1,No,Yes,Yes,No,1,2,2,0,,1,1,0,44,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iliass,1797565,Biopact,2/26/2020 15:28,Equifund CFP,https://equifundcfp.com/biopact-ct/,https://www.sec.gov/Archives/edgar/data/1797565/000179756520000001/xslC_X01/primary_doc.xml,2/12/2020,"BioPact Cellular Transport, Inc.",BioPact CT,Biotechnology,BioTech,Early,Seed,RegCF,,Equity - Common,,,"$30,000,000 ",,,,30000000,#NAME?,Recurring,B2B,High Growth,Yes,High,High,No,"$100,000,000,000 ",#NAME?,"$100,000,000,000 ",#NAME?,27.00%,#NAME?,50,High,Low,Obviously better than others,High,Low,Yes,Yes,No,No,0,#NAME?,0,$0 ,#NAME?,100.00%,#NAME?,Pre-Revenue,,No,0,1,No,No,No,Yes,1,4,0,0,,12,0,0,70,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iliass,1800212,eCarra,2/27/2020 11:20,WeFunder,https://wefunder.com/ecarra,https://www.sec.gov/Archives/edgar/data/1800212/000167025420000016/xslC_X01/primary_doc.xml,1/17/2020,"eCarra, LLC",eCarra,Transportation/Trucking/Railroad,MarketplaceTech,Early,Series A,RegCF,,SAFE,,,,"$1,000,000 ",0%,"$1,000,000 ",1000000,#NAME?,Transactional,B2B/B2C,High Growth,Yes,Low,High,No,"$87,099,440,000 ",#NAME?,"$87,099,440,000 ",#NAME?,19.20%,#NAME?,15,High,Low,Similar to others,High,High,Yes,No,Yes,Yes,72715,#NAME?,16744,"$344,000 ",#NAME?,4.87%,#NAME?,Pre-Profit,,Yes,1,2,Yes,No,Yes,No,2,7,1,1,,4,1,0,46,No,,4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iliass,1674612,Zelgor,2/28/2020 11:03,NetCapital,https://netcapital.com/companies/zelgor,https://www.sec.gov/Archives/edgar/data/1674612/000166919120000078/xslC_X01/primary_doc.xml,2/27/2020,Zelgor Inc,Zelgor,Computer Games,GamingTech,Early,Seed,RegCF,,Equity - Common,,,"$4,232,500 ",,,,4232500,#NAME?,Transactional,B2C,High Growth,Yes,High,Low,No,"$49,000,000,000 ",#NAME?,"$49,000,000,000 ",#NAME?,2.90%,#NAME?,1000,Low,Low,Similar to others,Low,High,No,No,No,No,0,#NAME?,2890,"$250,000 ",#NAME?,1.16%,#NAME?,Pre-Product,,Yes,1,1,No,No,No,No,2,4,2,2,,8,0,0,26,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iliass,1800753,Reset IV,2/28/2020 11:07,StartEngine,https://www.startengine.com/reset-iv,https://www.sec.gov/Archives/edgar/data/1800753/000166516020000164/xslC_X01/primary_doc.xml,2/27/2020,Reset IV Inc.,Reset IV,"Health, Welness & Fitness",HealthTech,Early,Series A,RegCF,,Equity - Common,,,"$10,000,000 ",,,,10000000,#NAME?,Transactional,B2C,High Growth,Yes,High,Low,No,"$8,962,000,000 ",#NAME?,"$8,962,000,000 ",#NAME?,6.20%,#NAME?,10,High,Low,Obviously better than others,Low,Low,No,No,Yes,Yes,329427,#NAME?,,$0 ,#NAME?,100.00%,#NAME?,Profitable,,No,0,1,No,No,No,No,2,7,1,0,,3,0,0,36,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iliass,1783128,Epilog AI,2/28/2020 11:13,StartEngine,https://www.startengine.com/epilog,https://www.sec.gov/Archives/edgar/data/1783128/000166516020000167/xslC_X01/primary_doc.xml,2/27/2020,"Epilog Imaging Systems, Inc.",Epilog AI,Industrial Automation,AutomationTech,Early,Seed,RegCF,,Equity - Common,,,"$9,200,000 ",,,,9200000,#NAME?,Transactional,B2B/B2C,High Growth,Yes,High,High,No,"$7,611,630,249 ",#NAME?,"$7,611,630,249 ",#NAME?,47.50%,#NAME?,6,High,High,Obviously better than others,High,Low,No,Yes,No,No,0,#NAME?,5089,"$3,000,000 ",#NAME?,0.17%,#NAME?,Pre-Revenue,,Yes,1,2,Yes,No,No,No,2,4,0,0,,6,1,0,53,Yes,,6,0,0,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iliass,1802761,Anthony's Cookies,2/28/2020 11:18,WeFunder,https://www.sec.gov/Archives/edgar/data/1802761/000167025420000116/xslC_X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1802761/000167025420000116/xslC_X01/primary_doc.xml,2/13/2020,"Anthony's Cookies, Inc",Anthony's Cookies,Food Production,Non-Tech,Early,Series A,RegCF,,Equity - Preferred,,,"$3,600,000 ",,,,3600000,#NAME?,Transactional,B2C,Life Style,No,Low,Low,No,"$18,130,000,000 ",#NAME?,"$18,130,000,000 ",#NAME?,0.20%,#NAME?,1000,Low,Low,Similar to others,Low,High,No,No,Yes,Yes,727179,#NAME?,2897,"$592,741 ",#NAME?,0.49%,#NAME?,Pre-Profit,,Yes,4,1,No,No,Yes,No,0,5,0,0,,22,0,0,42,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iliass,1803861,Melanoid Exchange,2/28/2020 11:23,Buy The Block,https://buytheblock.com/campaign/melanoid-exchange-is-offering-the-crowd-an-opportunity-to-invest-in-a-mobile-ecommercebooking-platform-dedicated-to-connecting-entrepreneurs-of-color-with-the-world,https://www.sec.gov/Archives/edgar/data/1803861/000180386120000002/xslC_X01/primary_doc.xml,2/26/2020,Melanoid Exchange LLC,Melanoid Exchange,Information Technology and Services,MarketplaceTech,Early,Seed,RegCF,,SAFE,,,,"$11,000,000 ",0%,"$11,000,000 ",11000000,#NAME?,Transactional,B2B/B2C,High Growth,Yes,Low,Low,No,"$419,879,000,000 ",#NAME?,"$56,263,786,000 ",#NAME?,9.30%,#NAME?,1000,Low,Low,Similar to others,Low,High,Yes,No,Yes,Yes,0,#NAME?,0,$0 ,#NAME?,100.00%,#NAME?,Pre-Profit,,No,0,2,No,Yes,Yes,No,3,2,0,0,,1,0,0,25,No,,1,0,0,25,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iliass,1752109,Roots & Vine Produce and Café,2/28/2020 11:26,Buy The Block,https://buytheblock.com/campaign/connecting-farmers-to-people-reconnecting-people-to-real-food-1,https://www.sec.gov/Archives/edgar/data/1752109/000175210920000003/xslC_X01/primary_doc.xml,2/26/2020,"Roots & Vine Produce & Cafe, Inc.",Roots & Vine Produce & Cafe,Food & Beverages,Non-Tech,Early,Seed,RegCF,,Equity - Common,,,"$215,000 ",,,,215000,#NAME?,Transactional,B2C,Life Style,No,Low,Low,No,"$49,067,500,000 ",#NAME?,"$49,067,500,000 ",#NAME?,3.30%,#NAME?,100,Low,Low,Similar to others,Low,High,No,No,No,No,0,#NAME?,0,$0 ,#NAME?,100.00%,#NAME?,Pre-Product,,No,0,1,No,Yes,Yes,No,1,3,1,0,,20,1,0,42,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iliass,1803793,Yahyn,3/2/2020 10:39,NetCapital,https://netcapital.com/companies/yahyn,https://www.sec.gov/Archives/edgar/data/1803793/000166919120000084/xslC_X01/primary_doc.xml,2/28/2020,"Puro Trader, Inc",Yahyn,Wine & Spirits,MarketplaceTech,Early,Seed,RegCF,,Equity - Common,,,"$4,955,781 ",,,,4955781,#NAME?,Transactional,B2C,High Growth,Yes,High,Low,No,"$385,109,000,000 ",#NAME?,"$70,000,000,000 ",#NAME?,3.40%,#NAME?,150,High,Low,Obviously better than others,High,Low,No,No,Yes,Yes,17162,#NAME?,50812,"$500,000 ",#NAME?,10.16%,#NAME?,Pre-Profit,,Yes,3,1,No,No,No,No,1,5,0,3,,3,0,0,40,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iliass,1802096,Teooh,3/2/2020 10:55,Republic,https://republic.co/teooh,https://www.sec.gov/Archives/edgar/data/1802096/000180209620000006/xslC_X01/primary_doc.xml,2/25/2020,"Teooh, Inc",Teooh,Events Services,MediaTech,Early,Seed,RegCF,RegD 506(B),SAFE,,,,"$10,000,000 ",0%,"$10,000,000 ",10000000,#NAME?,Transactional,B2B,High Growth,Yes,High,High,No,"$860,000,000,000 ",#NAME?,"$860,000,000,000 ",#NAME?,7.00%,#NAME?,15,High,High,Obviously better than others,High,Low,No,No,No,No,0,#NAME?,134307,"$2,440,000 ",#NAME?,5.50%,#NAME?,Pre-Revenue,,No,0,1,No,No,No,No,2,8,0,3,,2,0,0,42,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iliass,1690474,Blue,3/2/2020 10:58,Republic,https://republic.co/blue,https://www.sec.gov/Archives/edgar/data/1690474/000169047420000002/xslC_X01/primary_doc.xml,2/28/2020,"Follow-Mee, Inc.",Blue,Consumer Elecronics,HardwareTech,Early,Seed,RegCF,,SAFE,,,,"$14,750,000 ",0%,"$14,750,000 ",14750000,#NAME?,Transactional,B2B/B2C,High Growth,Yes,High,High,No,"$1,200,000,000 ",#NAME?,"$1,200,000,000 ",#NAME?,3.30%,#NAME?,7,High,Low,Obviously better than others,High,High,No,Yes,Yes,Yes,0,#NAME?,10181,"$600,000 ",#NAME?,1.70%,#NAME?,Pre-Profit,,No,0,4,Yes,Yes,Yes,No,7,11,2,0,,4,1,0,28,No,,8,2,0,28,No,,4,1,0,28,No,,4,1,0,60,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iliass,1749594,Asarasi,3/2/2020 11:01,Republic,https://republic.co/asarasi,https://www.sec.gov/Archives/edgar/data/1749594/000174959420000001/xslC_X01/primary_doc.xml,2/24/2020,"Asarasi, Inc.",Asarasi,Food & Beverages,CleanTech,Early,Seed,RegCF,,SAFE,,,,"$10,000,000 ",10%,"$9,000,000 ",9000000,#NAME?,Transactional,B2B/B2C,Life Style,No,High,High,Yes,"$305,061,000,000 ",#NAME?,"$305,061,000,000 ",#NAME?,6.40%,#NAME?,1000,High,Low,Similar to others,High,High,Yes,No,Yes,Yes,184942,#NAME?,14764,"$1,050,000 ",#NAME?,1.41%,#NAME?,Pre-Profit,,Yes,2,1,No,No,No,No,3,5,11,3,,7,2,0,38,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iliass,1793079,Hearo.Live,3/2/2020 11:04,Republic,https://republic.co/hearo-live,https://www.sec.gov/Archives/edgar/data/1793079/000179307920000001/xslC_X01/primary_doc.xml,2/28/2020,"PiQPiQ, Inc.",Hearo.Live,Online Media,MediaTech,Early,Seed,RegCF,,SAFE,,,,"$12,500,000 ",20%,"$10,000,000 ",10000000,#NAME?,Recurring,B2B2C,High Growth,Yes,High,High,No,"1,338,269,900",#NAME?,"$1,338,269,900 ",#NAME?,10.30%,#NAME?,1000,High,Low,Obviously better than others,High,High,No,No,Yes,Yes,0,#NAME?,34961,"$1,800,000 ",#NAME?,1.94%,#NAME?,Pre-Profit,,Yes,10,2,Yes,No,Yes,No,2,7,0,9,,35,4,3,60,No,,9,0,0,31,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francis,1761248,Open Box Buy,1/15/2019 15:19,StartEngine,https://www.startengine.com/openboxbuy,https://www.sec.gov/Archives/edgar/data/1761248/000166516020000187/xslC_X01/primary_doc.xml,3/2/2020,Open Box Buy Corp,Open Box Buy,Supermarkets,Non-Tech,Early,Seed,RegCF,,Convertible Note,,,,"$15,000,000 ",20%,"$12,000,000 ",12000000,#NAME?,Transactional,B2C,Life Style,No,Low,High,No,"$60,000,000,000 ",#NAME?,"$200,000,000 ",#NAME?,4.00%,#NAME?,10,Low,Low,Similar to others,Low,High,No,No,No,No,0,#NAME?,3832,$0 ,#NAME?,100.00%,#NAME?,Pre-Product,,No,0,1,No,No,No,No,1,1,0,0,,15,2,2,46,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francis,1758617,Karaganda,1/23/2019 7:54,StartEngine,https://www.startengine.com/karaganda,https://www.sec.gov/Archives/edgar/data/1758617/000166516019001233/xslC_X01/primary_doc.xml,12/20/2019,"Karaganda, LLC",Karaganda,Motion Pictures & Film,Non-Tech,Early,Pre-Seed,RegCF,,Equity - Common,,,"$100,000 ",,,,100000,#NAME?,Transactional,B2B2C,Life Style,No,Low,High,No,"$50,000,000,000 ",#NAME?,"$1,000,000 ",#NAME?,2.00%,#NAME?,200,Low,Low,Obviously worse than others,Low,High,No,No,No,No,0,#NAME?,486,$0 ,#NAME?,100.00%,#NAME?,Pre-Product,,No,0,1,No,No,No,No,1,3,0,0,,5,0,0,38,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francis,1762827,GURU by MSBAI,1/24/2019 14:19,StartEngine,https://www.startengine.com/msbai,https://www.sec.gov/Archives/edgar/data/1762827/000166516020000129/xslC_X01/primary_doc.xml,2/14/2020,"microsurgeonbot, Inc",MSBAI,Computer Software,EnterpriseTech,Early,Pre-Seed,RegCF,,Equity - Common,,,"$5,984,000 ",,,,5984000,#NAME?,Recurring,B2B,High Growth,Yes,High,Low,Yes,"$75,000,000,000 ",#NAME?,"$1,000,000,000 ",#NAME?,25.00%,#NAME?,5,High,Low,Similar to others,Low,Low,No,No,No,No,0,#NAME?,3168,$0 ,#NAME?,100.00%,#NAME?,Pre-Product,,Yes,1,2,No,No,No,No,1,1,0,0,,20,0,0,45,No,,15,0,0,45,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francis,1765252,QwikLeaf,2/4/2019 10:55,Fundanna,https://fundanna.com/equity/offer-summary/QwikLeaf,https://www.sec.gov/Archives/edgar/data/1765252/000176525220000002/xslC_X01/primary_doc.xml,1/30/2020,QWIKLEAF LLC,QwikLeaf,Cannabis and CBD,CommerceTech,Early,Pre-Seed,RegCF,,Convertible Note,,,,"$5,000,000 ",20%,"$4,000,000 ",4000000,#NAME?,Recurring,B2B,High Growth,Yes,High,Low,No,"$30,000,000,000 ",#NAME?,"$100,000,000 ",#NAME?,17.00%,#NAME?,30,High,Low,Obviously better than others,High,High,No,No,No,No,0,#NAME?,213,$0 ,#NAME?,100.00%,#NAME?,Pre-Product,,Yes,1,1,No,No,No,No,1,1,0,0,,0,0,0,26,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francis,1769308,WaterRR,2/28/2019 13:39,StartEngine,https://www.startengine.com/waterrr-inc,https://www.sec.gov/Archives/edgar/data/1769308/000166516020000048/xslC_X01/primary_doc.xml,1/24/2020,"WaterRR, Inc.",WaterRR,Enviromental Services,CleanTech,Early,Pre-Seed,RegCF,,Equity - Common,,,"$3,900,000 ",,,,3900000,#NAME?,Recurring,B2B,Life Style,No,Low,High,No,"$30,000,000,000 ",#NAME?,"$2,000,000,000 ",#NAME?,5.00%,#NAME?,1,High,Low,Obviously better than others,High,High,Yes,Yes,No,No,0,#NAME?,0,$0 ,#NAME?,100.00%,#NAME?,Pre-Revenue,,Yes,2,1,No,No,No,No,1,3,0,0,,15,0,0,60,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francis,1769670,81-c,3/7/2019 19:00,StartEngine,https://www.startengine.com/81-c,https://www.sec.gov/Archives/edgar/data/1769670/000166516020000188/xslC_X01/primary_doc.xml,3/3/2020,"81-c, Inc.",81-c,Financial Services,Non-Tech,Early,Seed,RegCF,,Equity - Tokens,,,"$1,250,000 ",,,,1250000,#NAME?,Recurring,B2B,Life Style,No,High,High,No,"$5,800,000,000,000 ",#NAME?,"$50,000,000 ",#NAME?,8.00%,#NAME?,30,High,Low,Similar to others,Low,Low,No,No,No,No,0,#NAME?,,$0 ,#NAME?,100.00%,#NAME?,Pre-Profit,,No,0,2,No,Yes,No,No,2,13,1,0,,15,4,1,40,No,,10,0,0,36,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
